year,country,score
2019,Fiji,0.0
2019,Puerto Rico,0.0
2019,Somalia,9.0
2019,South Sudan,12.0
2019,Syria,13.0
2019,Yemen,15.0
2019,Afghanistan,16.0
2019,Equatorial Guinea,16.0
2019,Sudan,16.0
2019,Venezuela,16.0
2019,"Korea, North",17.0
2019,Democratic Republic of the Congo,18.0
2019,Guinea Bissau,18.0
2019,Haiti,18.0
2019,Libya,18.0
2019,Burundi,19.0
2019,Congo,19.0
2019,Turkmenistan,19.0
2019,Iraq,20.0
2019,Cambodia,20.0
2019,Chad,20.0
2019,Nicaragua,22.0
2019,Eritrea,23.0
2019,Madagascar,24.0
2019,Zimbabwe,24.0
2019,Central African Republic,25.0
2019,Cameroon,25.0
2019,Comoros,25.0
2019,Tajikistan,25.0
2019,Uzbekistan,25.0
2019,Angola,26.0
2019,Bangladesh,26.0
2019,Guatemala,26.0
2019,Honduras,26.0
2019,Iran,26.0
2019,Mozambique,26.0
2019,Nigeria,26.0
2019,Dominican Republic,28.0
2019,Kenya,28.0
2019,Lebanon,28.0
2019,Liberia,28.0
2019,Mauritania,28.0
2019,Papua New Guinea,28.0
2019,Paraguay,28.0
2019,Russia,28.0
2019,Uganda,28.0
2019,Guinea,29.0
2019,Laos,29.0
2019,Maldives,29.0
2019,Mexico,29.0
2019,Mali,29.0
2019,Myanmar,29.0
2019,Togo,29.0
2019,Azerbaijan,30.0
2019,Djibouti,30.0
2019,Kyrgyzstan,30.0
2019,Ukraine,30.0
2019,Bolivia,31.0
2019,Gabon,31.0
2019,Malawi,31.0
2019,Moldova,32.0
2019,Niger,32.0
2019,Pakistan,32.0
2019,Sierra Leone,33.0
2019,Kazakhstan,34.0
2019,Nepal,34.0
2019,Philippines,34.0
2019,El Salvador,34.0
2019,Eswatini,34.0
2019,Zambia,34.0
2019,Albania,35.0
2019,Brazil,35.0
2019,Cote d'Ivoire,35.0
2019,Algeria,35.0
2019,Egypt,35.0
2019,North Macedonia,35.0
2019,Mongolia,35.0
2019,Bosnia and Herzegovina,36.0
2019,Kosovo,36.0
2019,Panama,36.0
2019,Peru,36.0
2019,Thailand,36.0
2019,Colombia,37.0
2019,Ethiopia,37.0
2019,Gambia,37.0
2019,Tanzania,37.0
2019,Vietnam,37.0
2019,Ecuador,38.0
2019,Sri Lanka,38.0
2019,Timor-Leste,38.0
2019,Serbia,39.0
2019,Turkey,39.0
2019,Burkina Faso,40.0
2019,Guyana,40.0
2019,Indonesia,40.0
2019,Kuwait,40.0
2019,Lesotho,40.0
2019,Trinidad and Tobago,40.0
2019,Benin,41.0
2019,China,41.0
2019,Ghana,41.0
2019,India,41.0
2019,Morocco,41.0
2019,Armenia,42.0
2019,Bahrain,42.0
2019,Solomon Islands,42.0
2019,Bulgaria,43.0
2019,Jamaica,43.0
2019,Tunisia,43.0
2019,Hungary,44.0
2019,Romania,44.0
2019,Suriname,44.0
2019,South Africa,44.0
2019,Argentina,45.0
2019,Belarus,45.0
2019,Montenegro,45.0
2019,Senegal,45.0
2019,Sao Tome and Principe,46.0
2019,Vanuatu,46.0
2019,Croatia,47.0
2019,Cuba,48.0
2019,Greece,48.0
2019,Jordan,48.0
2019,Slovakia,50.0
2019,Mauritius,52.0
2019,Namibia,52.0
2019,Oman,52.0
2019,Grenada,53.0
2019,Italy,53.0
2019,Malaysia,53.0
2019,Rwanda,53.0
2019,Saudi Arabia,53.0
2019,Malta,54.0
2019,Dominica,55.0
2019,Saint Lucia,55.0
2019,Costa Rica,56.0
2019,Czech Republic,56.0
2019,Georgia,56.0
2019,Latvia,56.0
2019,Cabo Verde,58.0
2019,Cyprus,58.0
2019,Poland,58.0
2019,"Korea, South",59.0
2019,Saint Vincent and the Grenadines,59.0
2019,Brunei Darussalam,60.0
2019,Israel,60.0
2019,Lithuania,60.0
2019,Slovenia,60.0
2019,Botswana,61.0
2019,Barbados,62.0
2019,Spain,62.0
2019,Portugal,62.0
2019,Qatar,62.0
2019,Bahamas,64.0
2019,Taiwan,65.0
2019,Seychelles,66.0
2019,Chile,67.0
2019,Bhutan,68.0
2019,France,69.0
2019,United States of America,69.0
2019,United Arab Emirates,71.0
2019,Uruguay,71.0
2019,Japan,73.0
2019,Estonia,74.0
2019,Ireland,74.0
2019,Belgium,75.0
2019,Hong Kong,76.0
2019,Australia,77.0
2019,Austria,77.0
2019,Canada,77.0
2019,United Kingdom,77.0
2019,Iceland,78.0
2019,Germany,80.0
2019,Luxembourg,80.0
2019,Netherlands,82.0
2019,Norway,84.0
2019,Switzerland,85.0
2019,Singapore,85.0
2019,Sweden,85.0
2019,Finland,86.0
2019,Denmark,87.0
2019,New Zealand,87.0
